timestamp,class,confidence,x1,y1,x2,y2
2026-04-08T11:03:10.378137,person,0.890,145,213,228,326
2026-04-08T11:03:10.378137,person,0.555,302,235,346,327
2026-04-08T11:03:10.794800,person,0.882,145,212,229,326
2026-04-08T11:03:10.794800,person,0.591,302,235,346,327
2026-04-08T11:03:11.021053,person,0.927,141,211,246,326
2026-04-08T11:03:11.021053,person,0.529,303,235,347,331
2026-04-08T11:03:11.021053,tv,0.489,0,246,184,394
2026-04-08T11:03:11.367720,person,0.900,143,211,236,326
2026-04-08T11:03:11.367720,person,0.533,301,235,345,330
2026-04-08T11:03:12.400241,person,0.894,144,210,235,326
2026-04-08T11:03:12.400241,person,0.566,300,235,345,329
2026-04-08T11:03:13.627003,person,0.912,151,208,242,326
2026-04-08T11:03:13.627003,person,0.507,298,235,344,329
2026-04-08T11:03:13.832574,person,0.905,152,208,243,326
2026-04-08T11:03:13.832574,tv,0.439,0,248,183,394
2026-04-08T11:03:14.470518,person,0.917,152,208,244,326
2026-04-08T11:03:14.470518,person,0.432,298,235,343,329
2026-04-08T11:03:14.470518,tv,0.404,0,251,184,393
2026-04-08T11:03:15.174722,person,0.916,151,207,254,325
2026-04-08T11:03:15.174722,person,0.600,296,233,343,329
2026-04-08T11:03:15.174722,laptop,0.451,90,323,358,479
2026-04-08T11:03:15.367226,person,0.914,150,207,254,325
2026-04-08T11:03:15.367226,person,0.577,295,232,342,329
2026-04-08T11:03:16.103456,person,0.912,150,207,254,325
2026-04-08T11:03:16.103456,person,0.623,294,232,343,328
2026-04-08T11:03:16.103456,tv,0.460,0,251,184,394
2026-04-08T11:03:16.420673,person,0.910,150,207,254,325
2026-04-08T11:03:16.420673,person,0.505,292,232,343,329
2026-04-08T11:03:16.830336,person,0.912,149,207,253,326
2026-04-08T11:03:16.830336,person,0.569,291,232,342,329
2026-04-08T11:03:16.952623,person,0.906,142,210,235,326
2026-04-08T11:03:16.952623,person,0.672,250,234,345,325
2026-04-08T11:03:17.731607,person,0.899,142,210,236,326
2026-04-08T11:03:17.731607,person,0.663,250,234,345,325
2026-04-08T11:03:18.379347,person,0.896,142,210,236,326
2026-04-08T11:03:18.379347,person,0.646,251,234,345,325
2026-04-08T11:03:19.156292,person,0.910,142,210,237,326
2026-04-08T11:03:19.156292,person,0.652,252,234,344,325
2026-04-08T11:03:19.795225,person,0.904,142,210,238,326
2026-04-08T11:03:19.795225,person,0.463,252,234,344,326
2026-04-08T11:03:21.320911,person,0.884,138,210,209,325
2026-04-08T11:03:21.320911,person,0.579,259,237,342,326
2026-04-08T11:03:22.134689,person,0.886,137,210,209,325
2026-04-08T11:03:22.134689,person,0.699,258,237,342,326
2026-04-08T11:03:22.779180,person,0.882,137,210,209,325
2026-04-08T11:03:22.779180,person,0.566,259,237,342,326
2026-04-08T11:03:22.779180,tv,0.437,0,257,184,395
2026-04-08T11:03:23.016279,person,0.866,137,210,210,324
2026-04-08T11:03:23.016279,person,0.665,259,237,342,326
2026-04-08T11:03:23.361881,person,0.878,184,206,258,325
2026-04-08T11:03:23.361881,tv,0.610,0,257,186,396
2026-04-08T11:03:23.361881,person,0.472,297,239,342,331
2026-04-08T11:03:24.277801,person,0.882,184,206,257,325
2026-04-08T11:03:24.277801,tv,0.649,0,257,186,396
2026-04-08T11:03:24.277801,person,0.452,297,239,342,330
2026-04-08T11:03:24.712430,person,0.889,184,206,258,325
2026-04-08T11:03:24.712430,tv,0.613,0,257,186,395
2026-04-08T11:03:25.096100,person,0.883,169,206,245,327
2026-04-08T11:03:25.096100,tv,0.611,0,256,186,395
2026-04-08T11:03:25.918660,person,0.890,167,206,242,326
2026-04-08T11:03:25.918660,tv,0.662,0,256,186,395
2026-04-08T11:03:25.918660,laptop,0.509,98,324,360,479
2026-04-08T11:03:26.337633,person,0.875,159,206,234,326
2026-04-08T11:03:26.337633,tv,0.656,0,258,186,397
2026-04-08T11:03:27.601803,person,0.870,160,207,234,326
2026-04-08T11:03:27.601803,tv,0.604,0,258,186,396
2026-04-08T11:03:27.713430,person,0.890,161,206,235,326
2026-04-08T11:03:27.713430,tv,0.640,0,258,186,396
2026-04-08T11:03:27.713430,person,0.428,297,235,344,328
2026-04-08T11:03:27.992305,person,0.877,166,205,237,326
2026-04-08T11:03:27.992305,tv,0.706,0,255,186,396
2026-04-08T11:03:27.992305,person,0.548,294,234,345,327
2026-04-08T11:03:28.214443,person,0.889,167,206,237,326
2026-04-08T11:03:28.214443,tv,0.725,0,253,186,397
2026-04-08T11:03:28.214443,person,0.623,294,234,345,326
2026-04-08T11:03:28.473364,person,0.856,178,212,241,327
2026-04-08T11:03:28.473364,tv,0.706,0,252,186,399
2026-04-08T11:03:28.473364,person,0.451,281,234,348,326
2026-04-08T11:03:28.687827,person,0.853,179,213,243,327
2026-04-08T11:03:28.687827,tv,0.825,0,249,186,402
2026-04-08T11:03:28.687827,person,0.694,272,233,347,326
2026-04-08T11:03:28.687827,laptop,0.526,97,321,369,479
2026-04-08T11:03:29.080414,person,0.860,178,212,243,327
2026-04-08T11:03:29.080414,person,0.708,274,233,347,328
2026-04-08T11:03:29.080414,tv,0.622,0,250,186,397
2026-04-08T11:03:29.080414,laptop,0.558,97,323,368,479
2026-04-08T11:03:29.507512,person,0.863,177,213,244,327
2026-04-08T11:03:29.507512,person,0.683,274,233,347,329
2026-04-08T11:03:29.507512,tv,0.580,0,253,186,396
2026-04-08T11:03:30.277779,person,0.880,176,212,246,326
2026-04-08T11:03:30.277779,person,0.687,272,233,347,330
2026-04-08T11:03:30.277779,tv,0.628,0,254,186,396
2026-04-08T11:03:30.615592,person,0.903,175,212,247,326
2026-04-08T11:03:30.615592,person,0.743,270,233,347,328
2026-04-08T11:03:30.615592,tv,0.692,0,254,186,398
2026-04-08T11:03:30.809680,person,0.855,177,211,255,326
2026-04-08T11:03:30.809680,person,0.728,256,234,346,326
2026-04-08T11:03:30.809680,tv,0.492,0,254,187,397
2026-04-08T11:03:30.930142,person,0.874,178,211,256,326
2026-04-08T11:03:30.930142,person,0.730,253,234,346,326
2026-04-08T11:03:31.244750,person,0.878,179,212,260,326
2026-04-08T11:03:31.244750,person,0.643,259,236,345,325
2026-04-08T11:03:31.668509,person,0.865,178,212,258,326
2026-04-08T11:03:31.668509,person,0.667,251,236,345,326
2026-04-08T11:03:32.880354,person,0.865,176,212,254,326
2026-04-08T11:03:32.880354,person,0.729,250,236,345,326
2026-04-08T11:03:32.880354,tv,0.498,0,255,186,397
2026-04-08T11:03:33.289794,person,0.873,143,216,216,326
2026-04-08T11:03:33.289794,person,0.832,256,236,345,332
2026-04-08T11:03:33.289794,tv,0.627,0,258,186,395
2026-04-08T11:03:34.750565,person,0.901,143,215,219,326
2026-04-08T11:03:34.750565,person,0.815,256,236,345,332
2026-04-08T11:03:34.750565,tv,0.614,0,258,187,395
2026-04-08T11:03:35.316920,person,0.891,143,215,220,326
2026-04-08T11:03:35.316920,person,0.814,256,236,345,332
2026-04-08T11:03:35.316920,tv,0.551,0,258,187,395
2026-04-08T11:03:35.762510,person,0.896,143,215,221,326
2026-04-08T11:03:35.762510,person,0.790,256,236,345,331
2026-04-08T11:03:35.762510,tv,0.554,0,258,187,394
2026-04-08T11:03:36.165593,person,0.900,143,215,223,326
2026-04-08T11:03:36.165593,person,0.792,256,236,345,329
2026-04-08T11:03:36.165593,tv,0.640,0,258,187,396
2026-04-08T11:03:36.601667,person,0.901,144,214,224,327
2026-04-08T11:03:36.601667,person,0.795,255,236,344,331
2026-04-08T11:03:36.601667,tv,0.625,0,258,187,395
2026-04-08T11:03:36.713500,person,0.904,150,212,231,327
2026-04-08T11:03:36.713500,person,0.699,253,234,345,329
2026-04-08T11:03:36.713500,tv,0.690,0,255,187,397
2026-04-08T11:03:36.713500,person,0.520,346,344,385,455
2026-04-08T11:03:37.188691,person,0.904,150,211,231,327
2026-04-08T11:03:37.188691,person,0.776,254,234,344,331
2026-04-08T11:03:37.188691,tv,0.696,0,254,187,396
2026-04-08T11:03:37.188691,person,0.648,346,345,385,454
2026-04-08T11:03:37.386395,person,0.903,149,211,230,327
2026-04-08T11:03:37.386395,person,0.782,253,234,344,330
2026-04-08T11:03:37.386395,tv,0.705,0,255,187,395
2026-04-08T11:03:37.386395,person,0.673,346,344,385,454
2026-04-08T11:03:37.818809,person,0.906,156,209,235,326
2026-04-08T11:03:37.818809,tv,0.795,0,258,187,399
2026-04-08T11:03:37.818809,person,0.589,244,235,344,333
2026-04-08T11:03:37.818809,person,0.476,351,344,384,455
2026-04-08T11:03:37.818809,laptop,0.418,104,324,352,479
2026-04-08T11:03:38.014641,person,0.904,157,209,237,326
2026-04-08T11:03:38.014641,tv,0.746,0,258,187,399
2026-04-08T11:03:38.014641,laptop,0.483,98,323,356,479
2026-04-08T11:03:38.014641,person,0.419,287,235,344,333
2026-04-08T11:03:38.931171,person,0.891,159,209,239,326
2026-04-08T11:03:38.931171,tv,0.699,0,258,187,397
2026-04-08T11:03:38.931171,person,0.654,287,235,344,333
2026-04-08T11:03:38.931171,person,0.456,352,345,384,455
2026-04-08T11:03:38.931171,laptop,0.423,98,324,355,479
2026-04-08T11:03:39.045184,person,0.900,160,210,240,326
2026-04-08T11:03:39.045184,tv,0.763,0,258,187,399
2026-04-08T11:03:39.045184,person,0.629,288,235,344,333
2026-04-08T11:03:39.045184,person,0.447,350,343,384,455
2026-04-08T11:03:39.576167,person,0.902,161,210,242,326
2026-04-08T11:03:39.576167,tv,0.691,0,258,187,398
2026-04-08T11:03:39.576167,person,0.686,288,235,344,333
2026-04-08T11:03:40.765939,person,0.881,150,213,224,327
2026-04-08T11:03:40.765939,tv,0.602,0,257,188,398
2026-04-08T11:03:41.299089,person,0.851,146,213,219,326
2026-04-08T11:03:41.299089,tv,0.661,0,257,187,399
2026-04-08T11:03:41.299089,person,0.519,351,347,386,456
2026-04-08T11:03:41.413118,person,0.882,144,213,218,325
2026-04-08T11:03:41.413118,tv,0.679,0,258,187,399
2026-04-08T11:03:41.413118,person,0.509,352,346,386,456
2026-04-08T11:03:42.225855,person,0.879,144,214,218,325
2026-04-08T11:03:42.225855,tv,0.637,0,258,188,398
2026-04-08T11:03:42.225855,person,0.504,353,346,386,455
2026-04-08T11:03:42.549227,person,0.685,197,296,232,325
2026-04-08T11:03:42.549227,person,0.572,288,238,384,452
2026-04-08T11:03:42.669279,person,0.699,197,296,232,325
2026-04-08T11:03:42.669279,person,0.603,288,238,383,452
2026-04-08T11:03:42.987811,person,0.699,197,296,232,325
2026-04-08T11:03:42.987811,person,0.506,288,237,383,452
2026-04-08T11:03:43.107646,person,0.741,196,297,232,325
2026-04-08T11:03:43.107646,person,0.510,289,237,383,453
2026-04-08T11:03:43.656779,person,0.696,197,297,232,325
2026-04-08T11:03:43.656779,tv,0.659,0,258,187,398
